percentil,media,cuantil_q25,cuantil_q75,minimo,maximo,suma
44,260083.04402745326,258187.46875,262016.609375,256277.515625,263931.71875,222631085.6875
45,267707.8173189252,265829.5,269619.40625,263934.25,271658.25,229157891.625
46,275420.0707505841,273483.625,277306.34375,271664.1875,279196.9375,235759580.5625
47,283586.902416764,281360,285769.71875,279199.875,287838.8125,242750388.46875
48,291937.05074474297,289836.84375,293967.125,287848.1875,296113.5,249898115.4375
49,300715.6215318341,298647.46875,302923.5,296116.03125,305140.0625,257412572.03125
50,309834.9580409357,307596.984375,312310.5703125,305142.0625,314391.71875,264908889.125
51,318820.7312719042,316557.9375,320965.625,314403.15625,323438.1875,272910545.96875
52,328151.12040011684,325883.46875,330523.84375,323440.59375,332906.5,280897359.0625
53,337787.51467581774,335320.15625,340390.875,332909.71875,342670.75,289146112.5625
54,347841.4250146028,345232.0625,350497.46875,342676.90625,353011.3125,297752259.8125
55,358231.0733060748,355647.75,360962.5,353018.875,363520.65625,306645798.75
56,369088.80366530374,366577.65625,371679.46875,363537.21875,374545.40625,315940015.9375
57,380058.6305125584,377273.28125,382899.0625,374558.71875,385864.875,325330187.71875
58,391766.9768910631,388526.90625,394626.84375,385892.1875,397455.75,335352532.21875
59,402926.1728606892,400209.125,405714.0625,397459.46875,408586.59375,344904803.96875
60,414915.66402599297,411770.8125,418020.65625,408589.65625,421316.3125,355167808.40625
61,427481.9744450935,424185.875,430708.90625,421322.5625,433706.75,365924570.125
62,439855.6239412967,436741.78125,442886.84375,433746.75,446403.03125,376516414.09375
63,453661.27836594626,449882.40625,457002.96875,446404.21875,460865.5,388334054.28125
64,467747.3563084112,464130.28125,471146.4375,460888.65625,474595.40625,400391737
65,481955.1278475467,478310.4375,485668.0625,474640.625,489818.96875,412553589.4375
66,498116.30870327103,494074.96875,502107.59375,489829.03125,506125.71875,426387560.25
67,514162.24989035085,510266.6875,518216.59375,506153.375,522055.0625,439608723.65625
68,531282.367224007,526395.1875,535962.9375,522057.78125,541224.5,454777706.34375
69,550672.4224591121,546161.125,555146.375,541286.4375,559838.4375,471375593.625
70,568395.1298189253,563808.8125,572772.6875,559904.9375,577168.25,486546231.125
71,586277.8214807243,581504.1875,590620.25,577233.4375,595891.125,501853815.1875
72,606896.2050233645,601044,612801.75,595893.875,618481.75,519503151.5
73,629929.1696115654,624527.75,635345.75,618492.6875,640971.4375,539219369.1875
74,652268.4702102804,646617.8125,658185.75,640996,663812.625,558341810.5
75,675934.9163989486,670116.9375,681490.125,663855.125,688566.4375,578600288.4375
76,701145.1997663551,694872.9375,707329.6875,688571.375,714376.875,600180291
77,727237.9201956776,720513.25,733725.375,714404,740661.4375,622515659.6875
78,755362.0306658879,748432.9375,762704.125,740759.5,770234,646589898.25
79,784566.3782126168,777561.4375,791008.375,770244,798814.375,671588819.75
80,814646.8720794392,806979.625,822331.375,798871.375,830023.4375,697337722.5
81,848130.2314544392,838828.625,856817,830053.3125,866954.875,725999478.125
82,885100.042932243,876090.9375,893789.1875,866971.9375,903573.6875,757645636.75
83,923164.7174357476,913101.5,932936.25,903599.4375,944673.875,790228998.125
84,966542.6299707602,954668.375,977411.015625,944733.25,990013.5,826393948.625
85,1014094.316369743,1001477.0625,1026422.25,990036.75,1038618.625,868064734.8125
86,1064278.4742260515,1051335.375,1077779,1038757.9375,1090566.875,911022373.9375
87,1118988.8273948599,1103705.125,1133458.5,1090591.125,1148768.375,957854436.25
88,1181101.0113901868,1163433.625,1197482.75,1148862,1215174.125,1011022465.75
89,1252841.4049357476,1233196.25,1272731.125,1215340.625,1291307.125,1072432242.625
90,1331855.6103971964,1310696.125,1352590.125,1291357.5,1374184.375,1140068402.5
91,1423297.3424357476,1398169.75,1448964.75,1374198.375,1472512.375,1218342525.125
92,1529787.262558411,1498186.625,1560020.25,1472544.25,1591798.625,1309497896.75
93,1657372.8154205608,1625161.75,1692068.125,1592266,1728688.875,1418711130
94,1802692.0690712617,1763653.375,1841068.75,1728753,1882532.5,1543104411.125
95,1991712.0524240653,1937206.875,2045371.75,1882557.375,2107959.75,1704905516.875
96,2245082.5330023365,2167573.75,2321387.5,2108083.25,2393535.25,1921790648.25
97,2569565.36010514,2477371.5,2653690,2393581.75,2762832.5,2199547948.25
98,3042077.918224299,2892738.25,3186799.75,2762939.25,3379877.25,2604018698
99,3912897.77307243,3583527,4212735,3379932.25,4671931.5,3349440493.75
100,7465548.514035088,5235915.125,8058687.125,4674981.5,53115520,6383043979.5
